epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,268.273,1.01556,2.90724,1.16613,0.00244,0.04376,0.00156,0.00061,2.52965,10.2115,2.33557,0.000332359,0.000332359,0.000332359
2,531.203,1.15607,2.28288,1.2769,0.4022,0.05692,0.04402,0.01972,2.52199,3.64205,2.0976,0.000599788,0.000599788,0.000599788
3,790.618,1.09688,8.55354,1.24393,0.00923,0.05912,0.01028,0.00505,2.55253,4.88441,2.21681,0.000801218,0.000801218,0.000801218
4,1048.81,1.19258,4.51746,1.28176,0.26093,0.06236,0.06715,0.0398,2.03383,2.96529,1.8703,0.000703,0.000703,0.000703
5,1307,1.10316,8.42218,1.23904,0.40342,0.09558,0.0705,0.04658,1.76705,2.65662,1.56816,0.000604,0.000604,0.000604
6,1564.99,1.04177,11.9782,1.219,0.73511,0.06733,0.05863,0.03415,1.89624,3.12787,1.57224,0.000505,0.000505,0.000505
7,1823.05,0.92119,17.1589,1.12585,0.54628,0.03777,0.06252,0.03888,1.83266,3.491,1.59278,0.000406,0.000406,0.000406
8,2080.97,0.91732,13.1213,1.12314,0.5307,0.05333,0.04881,0.03049,1.64343,3.34143,1.55681,0.000307,0.000307,0.000307
9,2338.88,0.92986,13.123,1.12802,0.76289,0.08111,0.15033,0.0893,1.34912,2.50047,1.32972,0.000208,0.000208,0.000208
10,2597.01,0.86091,25.7386,1.09215,0.75891,0.28748,0.38818,0.26199,1.19569,1.93439,1.24545,0.000109,0.000109,0.000109
